Número;Cliente (Completo);Serviço (2º Nível);Status;Esforço estimado;Tempo trabalhado;Andamento;Data da última ação;Tipo de faturamento;Responsável;Account Manager ;Aberto em;Resolvido em;Vencimento em;Assunto;Serviço (3º Nível)
5811;BILD;M365;Fechado;10;10:43:00;100%;16/09/2024;Faturar no final do projeto;Tadeu Trajano;Mateus Silva;06/06/2024;16/09/2024;30/09/2024;BILD prova de conceito autopilot;Desenvolvimento e implementação de projeto INTUNE
5985;CAAR DO BRASIL CONSULTORIA;M365;Fechado;52;80:04:00;75%;12/09/2024;Faturar no inicio do projeto;Luciano Seabra;Eder Rodrigues;17/06/2024;12/09/2024;;CAAR DO BRASIL , POC INTUNE PLANO 1;Desenvolvimento e implementação de projeto INTUNE
6012;INNOVAMED COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA;M365;Fechado;30;31:08:00;100%;31/07/2024;PRIME;Gabriel de Menezes;Thiago Alcantara;19/06/2024;31/07/2024;09/08/2024;MIGRAÇÃO IMAP - INNOVAMED - O365;Migracao E-mails IMAP para M365
6017;Jet e-business;M365;Fechado;4;18:54:00;5%;03/09/2024;Faturado em outro projeto.;Luciano Seabra;Gustavo Moyses;19/06/2024;03/09/2024;;Escopo AIP ;Desenvolvimento e implementação de projeto INTUNE AIP
7209;MUSASHI DO BRASIL LTDA;M365;Fechado;35;35:39:00;;16/09/2024;Faturar no inicio do projeto;Luciano Seabra;Thiago Alcantara;26/08/2024;16/09/2024;;Musashi - Intune;Desenvolvimento e implementação de projeto INTUNE
7259;COMERCIAL ZAFFARI (GAUCHINHO);Data e Power;Fechado;85;130:20:00;100%;07/10/2024;Descontar do PLUS no inicio do projeto;Erick Alex;Eder Rodrigues;28/08/2024;07/10/2024;03/10/2024;COMERCIAL ZAFFARI, Poc DataLake;Desenvolvimento e implementação de projeto Data
6030;COMERCIAL ZAFFARI (GAUCHINHO);Data e Power;Fechado;5;09:50:00;;16/08/2024;PRIME;René Pretto de Braga ;Eder Rodrigues;19/06/2024;16/08/2024;;COMERCIAL ZAFFARI , AZURE POWER BI EMBEDDED A1;Desenvolvimento e implementação de projeto Power BI Embedded
6103;USAGRO;M365;Fechado;35;12:18:00;100%;05/03/2025;Faturado em outro projeto.;Gabriel de Menezes;Mateus Silva;25/06/2024;05/03/2025;27/02/2025;USAGRO - Business Premium (Escopo ENTRA ID);Desenvolvimento e implementação de projeto Sharepoint
6198;GDM;M365;Fechado;48;04:16:00;100%;07/08/2024;Faturar no inicio do projeto;Gabriel de Menezes;Edison Sprandel;28/06/2024;07/08/2024;09/08/2024;GDM, Migração Latham Seeds;Migracao de tenant para tenant
6237;Cerradinho;Data e Power;Fechado;14;09:01:00;;16/08/2024;Faturado em outro projeto.;René Pretto de Braga ;Mateus Silva;01/07/2024;16/08/2024;16/08/2024;CERRADINHO power bi embedded consumo azure;Desenvolvimento e implementação de projeto Power BI Embedded
6238;MERCUR;M365;Fechado;45;53:49:00;100%;26/09/2024;Faturar no inicio do projeto;Gabriel de Menezes;Eder Rodrigues;01/07/2024;26/09/2024;27/09/2024;MERCUR, PROJETO INTUNE MOBILE E TABLETS M365 F3;Desenvolvimento e implementação de projeto INTUNE
6299;BOA ESPERANCA AFM PARTICIPACOES E EMPREENDIMENTOS LTDA.;M365;Fechado;30;49:54:00;100%;17/09/2024;PRIME;Gabriel de Menezes;Denilson Barboza;03/07/2024;17/09/2024;17/09/2024;FAZENDA BOA ESPERANÇA - MIGRAÇÃO DE E-MAILS IMAP - TERRA -> M365;Migracao E-mails IMAP para M365
6502;ATINOS COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS LTDA;M365;Fechado;20;23:28:00;100%;30/08/2024;PRIME;Gabriel de Menezes;Cleber Bastos;16/07/2024;30/08/2024;30/08/2024;ATINOS - MIGRAÇÃO DE E-MAILS GOOGLE;Migracao GSuite para M365
6525;TradersClub;M365;Fechado;60;52:16:00;50%;13/05/2025;Descontar do PLUS no inicio do projeto;Helen Machado;Erika Okada;17/07/2024;13/05/2025;30/06/2025;TC S.A- Intranet;Desenvolvimento e implementação de projeto INTRANET
